"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"  1862 Apollo (1932 HA)",1.471,0.5599,6.35,35.54,286.05,0.647,2.29,1.78,34421,0,3473,8,9,16.08
"  3122 Florence (1981 ET3)",1.769,0.4232,22.14,336.04,27.88,1.020,2.52,2.35,16876,0,9973,6,0,14.08
"  3671 Dionysus (1984 KD)",2.197,0.5438,13.53,82.02,204.43,1.002,3.39,3.26,14798,0,1125,,,16.49
"  7335 (1989 JA)",1.773,0.4845,15.16,61.26,232.34,0.914,2.63,2.36,12808,0,2553,4,4,17.70
" 35107 (1991 VH)",1.137,0.1437,13.92,139.31,207.03,0.973,1.30,1.21,12380,0,5378,5,0,16.87
" 65803 Didymos (1996 GT)",1.643,0.3832,3.41,72.98,319.59,1.013,2.27,2.11,722,0,1647,2,0,18.11
" 66391 Moshup (1999 KW4)",0.6424,0.6884,38.88,244.90,192.65,0.200,1.08,0.515,9911,0,3868,37,0,16.64
" 69230 Hermes (1937 UB)",1.655,0.6239,6.07,34.05,92.91,0.622,2.69,2.13,32025,0,2700,3,3,17.68
" 85938 (1999 DJ4)",1.852,0.4845,9.14,19.87,197.78,0.955,2.75,2.52,9259,0,647,1,0,18.73
"136617 (1994 CC)",1.638,0.4174,4.68,268.50,24.95,0.954,2.32,2.1,13277,0,739,13,14,17.97
"138095 (2000 DK79)",1.777,0.4145,60.68,43.45,2.60,1.040,2.51,2.37,14421,0,940,3,1,15.97
"143649 (2003 QQ47)",1.085,0.1870,62.10,0.98,104.96,0.882,1.29,1.13,7198,0,1250,0,1,17.39
"153591 (2001 SN263)",1.988,0.4800,6.69,325.71,173.06,1.034,2.94,2.8,12672,0,3654,3,0,17.11
"153958 (2002 AM31)",1.703,0.4514,4.64,144.36,197.95,0.934,2.47,2.22,15330,0,834,7,1,18.35
"162000 (1990 OS)",1.678,0.4624,1.09,346.49,21.62,0.902,2.45,2.17,12258,0,424,5,4,19.64
